domain,degradation,pipeline,plcc,srocc
medical,salt_pepper,A (sharpen only),-0.9316913953397388,-0.8224974200206399
medical,salt_pepper,B (restore + sharpen),0.6550757117548752,0.5397316821465428
medical,gaussian_noise,A (sharpen only),-0.8878346661258636,-0.9050567595459236
medical,gaussian_noise,B (restore + sharpen),-0.924012463486716,-0.8596491228070176
medical,blur,A (sharpen only),0.6613183282382217,0.7440660474716203
medical,blur,B (restore + sharpen),0.7795265853578605,0.8699690402476781
satellite,salt_pepper,A (sharpen only),-0.7636601942205855,-0.7337461300309598
satellite,salt_pepper,B (restore + sharpen),0.4255377046634248,0.32301341589267285
satellite,gaussian_noise,A (sharpen only),-0.441876734194712,-0.46955624355005154
satellite,gaussian_noise,B (restore + sharpen),0.5983332292404979,0.7461300309597523
satellite,blur,A (sharpen only),0.49124057865686616,0.7316821465428276
satellite,blur,B (restore + sharpen),0.5017280884463248,0.5768833849329205
