domain,degradation,image,t,lam,a_ssim,b_ssim,a_psnr,b_psnr
medical,salt_pepper,cxr_github_01,0.4,0.0,0.23177176614398273,0.9027142260120556,17.80884143580295,33.41469330694164
medical,salt_pepper,cxr_github_01,0.6,0.0,0.2111169494600721,0.8501976117325077,17.088400411481544,30.206155708693853
medical,salt_pepper,cxr_github_01,0.8,0.0,0.13603073184140374,0.5696385632398101,13.905379053048378,22.93330691094168
medical,gaussian_noise,cxr_github_01,0.4,0.0,0.06716375760242488,0.547063582652056,14.30020343670217,27.955260855669323
medical,gaussian_noise,cxr_github_01,0.6,0.0,0.04414889907091186,0.3965939856736834,11.728527317319147,24.96085966609671
medical,gaussian_noise,cxr_github_01,0.8,0.0,0.02302213491031553,0.1371924395005594,7.835179940173936,17.81155225445769
medical,blur,cxr_github_01,0.4,0.0,0.9002066789827787,0.8290427078427786,34.16052151856384,23.128694241838012
medical,blur,cxr_github_01,0.6,0.0,0.9032636054722899,0.7896257813888963,34.76570969920499,21.049909640127254
medical,blur,cxr_github_01,0.8,0.0,0.8330557817580235,0.5835464168073148,30.083859158669718,17.218710687410027
satellite,salt_pepper,ucmerced_agricultural,0.4,0.0,0.500476073721225,0.5366410887831866,16.187196599585757,24.322283934089818
satellite,salt_pepper,ucmerced_agricultural,0.6,0.0,0.4307675721194933,0.5744523308255608,13.811512621901265,23.724255809470385
satellite,salt_pepper,ucmerced_agricultural,0.8,0.0,0.2934956987612833,0.4754574479848325,9.577186968636058,18.43335105724993
satellite,gaussian_noise,ucmerced_agricultural,0.4,0.0,0.3273578307518386,0.7895728121724063,13.365423034781896,23.975895714090232
satellite,gaussian_noise,ucmerced_agricultural,0.6,0.0,0.2585899292154907,0.7005592996866777,11.002314549691036,20.36811368562102
satellite,gaussian_noise,ucmerced_agricultural,0.8,0.0,0.18228383324343125,0.4131593298517288,8.129907409105577,13.25536167309188
satellite,blur,ucmerced_agricultural,0.4,0.0,0.28885055732689363,0.3074714379895354,23.443142701158134,22.13449618627003
satellite,blur,ucmerced_agricultural,0.6,0.0,0.3175783463857494,0.3175901782284278,23.589754014507736,21.164717355820528
satellite,blur,ucmerced_agricultural,0.8,0.0,0.4071271905895493,0.296882769072844,23.50849581990329,17.571387377804978
